Emp id,Emp name,Gender,Fav website,Qualification,Experience,Ctc (in lakhs),Salary per month (in lakhs),Joining date,Department,Marital status,Living status,Father's name,Birth date,Nature
23.0,"Kelly, Mr. James",male, twitter.com,mca,17.0,6.0,50000.0,2010-01-01,it,m,rented,"Roth, Miss. Sarah A",1978-05-01,good
167.0,"Wilkes, Mrs. James (Ellen Needs)",female, facebook.com,mba,22.0,11.0,91666.66666666666,2010-01-02,marketing,um,own house,"Cacic, Miss. Manda",1978-05-02,bad
97.0,"Myles, Mr. Thomas Francis",male, instagram,bca,1.0,18.0,150000.0,2010-01-03,it,um,official,"Sap, Mr. Julius",1978-05-03,normal
217.0,"Wirz, Mr. Albert",male, facebook,b.tech,17.0,4.0,33333.33333333333,2010-01-04,it,m,rented,"Hee, Mr. Ling",1978-05-04,funny
435.0,"Svensson, Mr. Johan Cervin",male, linkedin,ba,8.0,11.0,91666.66666666666,2010-01-06,accounts,um,official,"Franklin, Mr. Thomas Parham",1978-05-06,good
211.0,"Connolly, Miss. Kate",female, twitter.com,ma,9.0,13.0,108333.33333333331,2010-01-07,hr,um,rented,"Goldsmith, Mr. Nathan",1978-05-07,bad
391.0,"Caldwell, Mr. Albert Francis",male, facebook.com,phd,16.0,4.0,33333.33333333333,2010-01-08,head,d,own house,"Corbett, Mrs. Walter H (Irene Colvin)",1978-05-08,normal
269.0,"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",female, instagram,10th,19.0,6.0,50000.0,2010-01-09,worker,m,official,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",1978-05-09,funny
500.0,"Jones, Mr. Charles Cresson",male, linkedin,m.tech,8.0,20.0,166666.6666666667,2010-01-12,it,um,official,"Shaughnessy, Mr. Patrick",1978-05-12,bad
13.0,"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",female, twitter.com,be,4.0,10.0,83333.33333333334,2010-01-13,marketing,um,rented,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",1978-05-13,normal
215.0,"Howard, Mr. Benjamin",male, facebook.com,me,18.0,22.0,183333.33333333328,2010-01-14,it,m,own house,"Coutts, Mrs. William (Winnie Minnie"" Treanor)""",1978-05-14,funny
115.0,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",female, instagram,iit delhi,11.0,10.0,83333.33333333334,2010-01-15,it,um,official,"Smith, Mr. Lucien Philip",1978-05-15,aggressive
311.0,"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",female, facebook,iit mumbai,3.0,12.0,100000.0,2010-01-16,marketing,um,rented,"Pulbaum, Mr. Franz",1978-05-16,good
267.0,"Keane, Mr. Daniel",male,twitter,iit roorkee,16.0,17.0,141666.6666666667,2010-01-17,accounts,um,own house,"Hocking, Miss. Ellen Nellie""""",1978-05-17,bad
269.0,"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",female, linkedin,10th,19.0,6.0,50000.0,2010-01-09,worker,m,official,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",1978-05-09,funny
263.0,"Rothschild, Mr. Martin",male, facebook.com,b.tech,6.0,24.0,200000.0,2010-01-21,worker,m,official,"Cor, Mr. Bartol",1978-05-21,good
342.0,"Flegenheim, Mrs. Alfred (Antoinette)",female, facebook,ba,24.0,23.0,191666.66666666672,2010-01-23,it,um,own house,"Davison, Mr. Thomas Henry",1978-05-23,normal
283.0,"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",female, linkedin,phd,25.0,12.0,100000.0,2010-01-25,it,m,rented,"Dika, Mr. Mirko",1978-05-25,aggressive
212.0,"Robins, Mr. Alexander A",male, twitter.com,10th,3.0,6.0,50000.0,2010-01-26,it,um,own house,"McCrae, Mr. Arthur Gordon",1978-05-26,good
257.0,"Ostby, Miss. Helene Ragnhild",female, facebook.com,12th,11.0,8.0,66666.66666666666,2010-01-27,marketing,um,official,"Bjorklund, Mr. Ernst Herbert",1978-05-27,bad
301.0,"Daher, Mr. Shedid",male, instagram,uneducated,15.0,15.0,125000.0,2010-01-28,accounts,um,rented,"Bradley, Miss. Bridget Delia",1978-05-28,normal
286.0,"Brady, Mr. John Bertram",male, facebook,m.tech,18.0,15.0,125000.0,2010-01-29,hr,d,own house,"Ryerson, Master. John Borie",1978-05-29,funny
109.0,"Samaan, Mr. Elias",male,twitter,be,0.0,18.0,150000.0,2010-01-30,head,m,official,"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)",1978-05-30,aggressive
296.0,"Louch, Mr. Charles Alexander",male, linkedin,me,25.0,7.0,58333.33333333334,2010-01-31,worker,um,rented,"Burns, Miss. Mary Delia",1978-05-31,good
21.0,"Jefferys, Mr. Clifford Thomas",male, twitter.com,iit delhi,5.0,20.0,166666.6666666667,2010-02-01,worker,m,own house,"Moore, Mr. Clarence Bloomfield",1978-06-01,bad
285.0,"Dean, Mrs. Bertram (Eva Georgetta Light)",female, facebook.com,iit mumbai,18.0,18.0,150000.0,2010-02-02,senior level,um,official,"Tucker, Mr. Gilbert Milligan Jr",1978-06-02,normal
342.0,"Johnston, Mrs. Andrew G (Elizabeth Lily"" Watson)""",female, instagram,iit roorkee,0.0,21.0,175000.0,2010-02-03,it,um,rented,"Fortune, Mrs. Mark (Mary McDougald)",1978-06-03,funny
359.0,"Mock, Mr. Philipp Edmund",male, facebook,mca,11.0,19.0,158333.3333333333,2010-02-04,marketing,m,own house,"Mulvihill, Miss. Bertha E",1978-06-04,aggressive
142.0,"Katavelas, Mr. Vassilios (Catavelas Vassilios"")""",male,twitter,mba,17.0,2.0,16666.666666666664,2010-02-05,it,um,official,"Minkoff, Mr. Lazar",1978-06-05,good
130.0,"Roth, Miss. Sarah A",female, linkedin,bca,13.0,11.0,91666.66666666666,2010-02-06,it,um,rented,"Nieminen, Miss. Manta Josefina",1978-06-06,bad
285.0,"Sap, Mr. Julius",male, twitter.com,bba,22.0,22.0,183333.33333333328,2010-02-08,accounts,d,official,"Geiger, Miss. Amalie",1978-06-08,funny
173.0,"Hee, Mr. Ling",male, facebook.com,ba,19.0,15.0,125000.0,2010-02-09,hr,m,rented,"Keeping, Mr. Edwin",1978-06-09,aggressive
474.0,"Karun, Mr. Franz",male, instagram,ma,2.0,5.0,41666.66666666667,2010-02-10,head,um,own house,"Miles, Mr. Frank",1978-06-10,good
9.0,"Goldsmith, Mr. Nathan",male,twitter,10th,17.0,15.0,125000.0,2010-02-12,worker,m,rented,"Aldworth, Mr. Charles Augustus",1978-06-12,normal
293.0,"Corbett, Mrs. Walter H (Irene Colvin)",female, linkedin,12th,23.0,17.0,141666.6666666667,2010-02-13,senior level,um,own house,"Doyle, Miss. Elizabeth",1978-06-13,funny
471.0,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",female, twitter.com,uneducated,24.0,14.0,116666.66666666669,2010-02-14,it,um,official,"Boulos, Master. Akar",1978-06-14,aggressive
137.0,"Peltomaki, Mr. Nikolai Johannes",male, facebook.com,m.tech,16.0,7.0,58333.33333333334,2010-02-15,marketing,um,rented,"Straus, Mr. Isidor",1978-06-15,good
417.0,"Chevre, Mr. Paul Romaine",male, instagram,be,1.0,4.0,33333.33333333333,2010-02-16,it,d,own house,"Case, Mr. Howard Brown",1978-06-16,bad
246.0,"Shaughnessy, Mr. Patrick",male, facebook,me,3.0,21.0,175000.0,2010-02-17,it,m,official,"Demetri, Mr. Marinko",1978-06-17,normal
196.0,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",female,twitter,iit delhi,9.0,21.0,175000.0,2010-02-18,marketing,um,rented,"Lamb, Mr. John Joseph",1978-06-18,funny
140.0,"Coutts, Mrs. William (Winnie Minnie"" Treanor)""",female, linkedin,iit mumbai,2.0,6.0,50000.0,2010-02-19,accounts,m,own house,"Khalil, Mr. Betros",1978-06-19,aggressive
287.0,"Pulbaum, Mr. Franz",male, facebook.com,mca,5.0,11.0,91666.66666666666,2010-02-21,head,um,rented,"Badman, Miss. Emily Louisa",1978-06-21,bad
280.0,"Hocking, Miss. Ellen Nellie""""",female, instagram,mba,19.0,14.0,116666.66666666669,2010-02-22,worker,m,own house,"O'Donoghue, Ms. Bridget",1978-06-22,normal
430.0,"Fortune, Miss. Ethel Flora",female, facebook,bca,7.0,3.0,25000.0,2010-02-23,worker,um,official,"Wells, Master. Ralph Lester",1978-06-23,funny
